Expected,Predicted
kılıyor olacakmış,kılıyor olacakmış
mermiydiniz,mermiydiniz
geçinmiş olmayacaktık,geçinmiş olmayacaktık
çağanozlarını,çağanozları
uzanıyor olmalı mıymışız,uzanıyor olmalı mıydık
sınıyor olmalı mıymışız,sınıyor olmalı mıymışız
üretecek olmayacaklar mı,üretecekler mi
atmamamışsınız,atmamamışsınız
yanıt verecek olacaksınız,yanıt verecek olacaksınız
canlanılmış olmayacaklardı,canlanılmış olmayacaklardı
öpmemeli miymiş,öpmemeli miymiş
lepisteslerini,lepistesleri
cavlağı çekiyor olmamalılar,cavlağı çekiyor olmamalılar
sinirlendirmemeli miymiş,sinirlendirmemeli miymiş
ayaklardan,ayaklardan
ışıklarını,ışıkları
göndermemeliydim,göndermediydim
sikiliyorduk,sikiliyorduk
temizlemiş olmayacak,temizlemiş olmayacak
cikletler,cikletleri
emmemişsin,emmemişsin
haberleşmez miymiş,haberleşmez miymiş
evlenmeyecek miymişim,evlenmeyecek miymişim
gözlüyorlarmış,gözlüyormuşlar
saklanmış mıymış,saklanmış mı
karıştıracak olmayacaksın,karıştıracak olmayacaksın
damlamayacak mıydım,damlamayacak mıydım
geliyor olmamalıymışsınız,geliyor olmamalıymışsınız
yaptırıyor olmamalıydı,yaptırıyor olmamalıydı
çıkıyor olacakmışsınız,çıkıy olacakmışsınız
gücenmeliymiş,gucenmeliymiş
uymuş olacaklar,uymuş olar
diri miymişim?,diriymişim
şüphe,şüphey
giyiyor olmayacaksınız,giyiyor olmayacaksınız
